Name,Yelp,Google,Overall
Starbucks Reserve,4.0,4.2,3.9
Elm Coffee Roasters,4.5,4.7,4.4
Victrola Coffee,4.5,4.6,4.3
Lighthouse Roasters,4.0,4.3,4.0
Espresso Vivace,4.5,4.5,4.5
Storyville Coffee,4.5,4.6,4.2
Cafe Vita,4.0,4.3,4.1
Analog Coffee,4.0,4.4,4.0
Cherry Street Coffee,3.5,4.1,3.7
Caffe Ladro,4.0,4.2,3.9
Zoka Coffee,4.0,4.3,4.0
Herkimer Coffee,4.5,4.5,4.3
Milstead & Co,4.5,4.7,4.6
Slate Coffee Roasters,4.5,4.6,4.4
La Marzocco Cafe,4.0,4.4,4.1
Seattle Coffee Works,4.0,4.3,4.0
Broadcast Coffee,4.0,4.2,3.9
Anchorhead Coffee,4.5,4.6,4.4
Tougo Coffee,4.0,4.1,3.8
Cafe Cesura,4.0,4.3,4.1
Cloud City Coffee,3.5,4.0,3.6
Fremont Coffee,4.0,4.2,3.9
Ada's Technical Books,4.5,4.5,4.3
Fuel Coffee,3.5,4.0,3.7
Trabant Coffee,4.0,4.1,3.8
Kaladi Brothers,4.0,4.3,4.0
Neptune Coffee,4.0,4.2,3.9
Bauhaus Coffee,3.5,4.1,3.7
Uptown Espresso,3.5,3.9,3.5
Top Pot Doughnuts,4.0,4.3,4.0
Woods Coffee,4.0,4.2,3.9
Zeitgeist Coffee,4.0,4.3,4.1
Makeda Coffee,4.0,4.2,3.8
Porchlight Coffee,4.5,4.5,4.3
Empire Espresso,4.0,4.1,3.9
Street Bean Coffee,4.0,4.4,4.2
Lighthouse Roasters Capitol Hill,4.0,4.2,3.9
Seven Coffee Roasters,4.5,4.4,4.2
Olympia Coffee,4.5,4.6,4.4
Boon Boona Coffee,4.5,4.7,4.5
Conduit Coffee,4.0,4.3,4.0
Elm Coffee Ballard,4.5,4.6,4.3
Monorail Espresso,3.5,4.0,3.6
Little Red Hen,4.0,4.1,3.8
Voxx Coffee,4.0,4.2,3.9
Aster Coffee,4.5,4.4,4.2
Bellden Cafe,4.0,4.3,4.0
General Porpoise,4.5,4.5,4.3
Elm Coffee Green Lake,4.5,4.5,4.2
Pegasus Coffee,4.0,4.2,3.9
Stumptown Coffee,4.5,4.4,4.3
Blue Bottle Coffee,4.0,4.3,4.1
Joe Bar,3.5,4.0,3.7
Caffe Fiore,4.0,4.2,3.9
Verite Coffee,4.5,4.5,4.4
Sound & Fog,4.0,4.3,4.1
Cherry St Coffee Pike Place,3.5,4.0,3.6
Starbucks Original,3.5,4.1,3.5
Fonte Coffee,4.0,4.2,3.9
Vita Green Lake,4.0,4.2,4.0
Rusty Pelican,3.5,3.9,3.5
Peet's Coffee,3.5,4.0,3.6
Scripted Coffee,4.0,4.2,3.9
Firehouse Coffee,4.0,4.3,4.0
Caffe Appassionato,3.5,4.0,3.6
Vashon Coffee,4.0,4.3,4.1
Wayward Coffee,4.5,4.4,4.2
Capitol Hill Espresso,4.0,4.1,3.8
All City Coffee,4.0,4.2,3.9
Queen Anne Coffee,3.5,4.0,3.6
Urban City Coffee,4.0,4.1,3.8
Raven Cafe,4.0,4.3,4.0
True North Coffee,4.0,4.2,3.9
Drip City Coffee,4.5,4.4,4.2
Roast House Coffee,4.0,4.3,4.0
Ballard Coffee Works,4.0,4.2,3.9
Lighthouse U District,4.0,4.1,3.8
Bean Box Cafe,4.0,4.4,4.1
Revival Coffee,4.5,4.5,4.3
Grounded Coffee,3.5,4.0,3.6
Frelard Coffee,4.0,4.2,3.9
Morning Owl,4.0,4.3,4.0
